,name,link,Academics,Value,Diversity,Campus,Athletics,Party_Scene,Professors,Location,Dorms,Campus_Food,Student_Life,Safety,des,street,city,state,zip,Accept_Rate,SAT,ACT,Application_fee,Price_per_year,major_rank,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT
20,Tufts University,https://www.niche.com/colleges/tufts-university/,A+,A+,A,A-,B,B+,A+,A+,B,A+,A+,B-,"Tufts is a highly rated private university located in Somerville, Massachusetts in the Boston Area. It is a mid-size institution with an enrollment of 5,483 undergraduate students. Admissions is extremely competitive as the Tufts acceptance rate is 15%. Popular majors include Economics, Biology, and International Relations. Graduating 93% of students, Tufts alumni go on to earn a starting salary of $50,600.",4 Colby St.,Medford,MA,2155,15%,1410-1540,31-34,$75 ,"$29,449 ",Economics; Biology; International Relations; Computer Science; Political Science and Government; Public Health; Arts; Research and Experimental Psychology; English; Mechanical Engineering; ,15%,"21,101",1410-1540,700-760,710-780,34%
21,Johns Hopkins University,https://www.niche.com/colleges/johns-hopkins-university/,A+,A+,A,B,C+,B+,A+,B,B,B+,A-,B-,"Johns Hopkins is a highly rated private university located in Baltimore, Maryland. It is a mid-size institution with an enrollment of 5,668 undergraduate students. Admissions is extremely competitive as the Johns Hopkins acceptance rate is 13%. Popular majors include Public Health, Nursing, and International Relations. Graduating 93% of students, Johns Hopkins alumni go on to earn a starting salary of $62,700.",3400 N. Charles Street,Baltimore,MD,21218,13%,1450-1570,33-35,$70 ,"$29,066 ",Public Health; Nursing; International Relations; Bioengineering and Biomedical Engineering; Economics; Neuroscience and Neurobiology; Chemical Engineering; Cellular Biology; Music Performance; Mathematics; ,13%,"27,156",1450-1570,720-770,730-800,43%
22,Emory University,https://www.niche.com/colleges/emory-university/,A+,A+,A+,A,B-,B+,A+,A,A,B,A,B,"Emory is a highly rated private, Christian university located in Druid Hills, Georgia in the Atlanta Area. It is a mid-size institution with an enrollment of 6,794 undergraduate students. Admissions is competitive as the Emory acceptance rate is 22%. Popular majors include Business, Biology, and Nursing. Graduating 91% of students, Emory alumni go on to earn a starting salary of $53,200.","408 Administration Building, 201 Dowman Drive",Atlanta,GA,30322,22%,1350-1520,30-33,$75 ,"$26,867 ",Business; Biology; Nursing; Economics; Psychology; Neuroscience and Neurobiology; Chemistry; Physical Education Teaching and Coaching; Political Science and Government; Computational and Applied Mathematics; ,22%,"23,747",1350-1520,670-740,680-780,57%
23,University of Virginia,https://www.niche.com/colleges/university-of-virginia/,A+,A+,A,A,A+,A+,A+,A-,B,C+,A+,B-,"UVA is a highly rated public university located in Charlottesville, Virginia. It is a large institution with an enrollment of 15,766 undergraduate students. Admissions is competitive as the UVA acceptance rate is 27%. Popular majors include Liberal Arts and Humanities, Economics, and Business. Graduating 95% of students, UVA alumni go on to earn a starting salary of $48,300.",1827 University Avenue,Charlottesville,VA,22903,27%,1310-1500,29-33,$70 ,"$16,594 ",Liberal Arts and Humanities; Economics; Business; Biology; International Relations; Psychology; English; History; Political Science and Government; Information Science; ,27%,"36,779",1310-1500,660-740,650-760,74%
24,University of California - Los Angeles,https://www.niche.com/colleges/university-of-california---los-angeles/,A+,A+,A,A+,A+,A+,A+,A,A,A+,A+,B,"UCLA is a highly rated public university located in Los Angeles, California. It is a large institution with an enrollment of 30,458 undergraduate students. Admissions is competitive as the UCLA acceptance rate is 16%. Popular majors include Political Science and Government, Economics, and Psychology. Graduating 91% of students, UCLA alumni go on to earn a starting salary of $41,900.",405 Hilgard Ave,Los Angeles,CA,90095,16%,1220-1450,29-34,$70 ,"$14,760 ",Political Science and Government; Economics; Psychology; Sociology; Biology; Physiological Psychology; History; Computational and Applied Mathematics; English; Liberal Arts and Humanities; ,16%,"102,225",1220-1450,620-710,600-740,76%
25,Swarthmore College,https://www.niche.com/colleges/swarthmore-college/,A+,A+,A+,B-,B-,B-,A+,C+,A-,B-,A,B-,"Swarthmore is a highly rated private college located in Swarthmore, Pennsylvania in the Philadelphia Area. It is a small institution with an enrollment of 1,573 undergraduate students. Admissions is extremely competitive as the Swarthmore acceptance rate is 11%. Popular majors include Economics, Information Science, and Biology. Graduating 94% of students, Swarthmore alumni go on to earn a starting salary of $33,700.",500 College Ave,Swarthmore,PA,19081,11%,1380-1540,31-34,$60 ,"$20,444 ",Economics; Information Science; Biology; Mathematics; Engineering; Political Science and Government; Research and Experimental Psychology; Education; Sociology; Neuroscience and Neurobiology; ,11%,"9,382",1380-1540,690-760,690-780,58%
26,United States Military Academy at West Point,https://www.niche.com/colleges/united-states-military-academy-at-west-point/,A+,A+,B+,C-,C,C-,A,C,B-,B-,C+,A+,"West Point is an elite public college located in Highlands, New York. It is a small institution with an enrollment of 4,491 undergraduate students. Admissions is extremely competitive as the West Point acceptance rate is only 10%. Popular majors include Business, Mechanical Engineering, and Systems Engineering. West Point graduates 86% of its students.",646 Swift Road,West Point,NY,10996,10%,1180-1400,23-28,$0 ,$0 ,Business; Mechanical Engineering; Systems Engineering; Engineering; Economics; History; Military Science; Geography; Civil Engineering; Information Science; ,10%,"12,973",1180-1400,580-690,600-710,86%
27,Middlebury College,https://www.niche.com/colleges/middlebury-college/,A+,A+,A,A,B+,B-,A+,C+,A-,A+,A,B,"Middlebury is a highly rated private college located in Middlebury, Vermont. It is a small institution with an enrollment of 2,528 undergraduate students. Admissions is competitive as the Middlebury acceptance rate is 17%. Popular majors include Economics, Political Science and Government, and Environmental Science. Graduating 95% of students, Middlebury alumni go on to earn a starting salary of $41,600.",Old Chapel,Middlebury,VT,5753,17%,1320-1510,30-34,$65 ,"$22,841 ",Economics; Political Science and Government; Environmental Science; Neuroscience and Neurobiology; Psychology; Computer Science; Biochemistry and Molecular Biology; History; International Relations; English; ,17%,"8,909",1320-1510,660-750,660-760,49%
28,Barnard College,https://www.niche.com/colleges/barnard-college/,A+,A+,A,B+,NG,A,A+,A+,B-,B-,A+,B+,"Barnard is a highly rated private college located in Manhattan, New York in the New York City Area. It is a small institution with an enrollment of 2,514 undergraduate students. Admissions is extremely competitive as the Barnard acceptance rate is 15%. Popular majors include Psychology, Economics, and Political Science and Government. Graduating 93% of students, Barnard alumni go on to earn a starting salary of $44,100.",3009 Broadway,New York,NY,10027,15%,1310-1500,30-33,$75 ,"$23,736 ",Psychology; Economics; Political Science and Government; English; Art History; Neuroscience and Neurobiology; Urban Studies and Affairs; History; Liberal Arts and Humanities; Anthropology; ,15%,"7,716",1310-1500,660-760,650-740,50%
29,Washington & Lee University,https://www.niche.com/colleges/washington--and--lee-university/,A+,A+,B,B+,B-,A-,A+,B-,A,B,A,B-,"Washington & Lee is a highly rated private university located in Lexington, Virginia. It is a small institution with an enrollment of 1,823 undergraduate students. Admissions is competitive as the Washington & Lee acceptance rate is 22%. Popular majors include Business, Accounting, and Economics. Graduating 92% of students, Washington & Lee alumni go on to earn a starting salary of $46,700.",204 W Washington St,Lexington,VA,24450,22%,1350-1490,31-33,$60 ,"$25,029 ",Business; Accounting; Economics; Political Science and Government; English; Biology; Research and Experimental Psychology; History; Journalism; East Asian Languages and Literatures; ,22%,"5,455",1350-1490,680-740,670-750,35%
