,name,link,Academics,Value,Diversity,Campus,Athletics,Party_Scene,Professors,Location,Dorms,Campus_Food,Student_Life,Safety,des,street,city,state,zip,Accept_Rate,SAT,ACT,Application_fee,Price_per_year,major_rank,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT
183,Ohio University,https://www.niche.com/colleges/ohio-university/,B+,B+,A-,A+,A,A+,A,B+,B,A,A+,B-,"Ohio University is a highly rated public university located in Athens, Ohio. It is a large institution with an enrollment of 17,695 undergraduate students. Admissions is somewhat competitive as the Ohio University acceptance rate is 74%. Popular majors include Nursing, Liberal Arts and Humanities, and Business. Graduating 64% of students, Ohio University alumni go on to earn a starting salary of $31,500.",020 Chubb Hall,Athens,OH,45701,74%,1080-1260,22-26,$50 ,"$21,607 ",Nursing; Liberal Arts and Humanities; Business; Communications; Marketing; Journalism; Psychology; Finance; Healthcare Management; Radio and Television; ,74%,"26,263",1080-1260,550-640,530-620,17%
184,John Carroll University,https://www.niche.com/colleges/john-carroll-university/,B+,A,B+,B,B-,B,A-,B+,B,C+,B+,B+,"John Carroll is a highly rated private, Catholic university located in University Heights, Ohio in the Cleveland Area. It is a small institution with an enrollment of 2,987 undergraduate students. The John Carroll acceptance rate is 85%. Popular majors include Communications, Psychology, and Biology. Graduating 78% of students, John Carroll alumni go on to earn a starting salary of $39,000.",1 John Carroll Boulevard,University Heights,OH,44118,85%,1000-1140,22-27,$0 ,"$26,488 ",Communications; Psychology; Biology; Finance; Accounting; Marketing; Business; Political Science and Government; Sociology; Education; ,85%,"3,840",1000-1140,510-570,490-570,35%
185,Appalachian State University,https://www.niche.com/colleges/appalachian-state-university/,B+,A-,B,A,A,A-,A-,A-,B,A-,A+,B,"Appalachian State is a highly rated public university located in Boone, North Carolina. It is a large institution with an enrollment of 16,071 undergraduate students. Admissions is somewhat competitive as the Appalachian State acceptance rate is 70%. Popular majors include Kinesiology and Exercise Science, Psychology, and Nursing. Graduating 73% of students, Appalachian State alumni go on to earn a starting salary of $30,800.",287 Rivers St,Boone,NC,28608,70%,1100-1270,23-27,$65 ,"$10,473 ",Kinesiology and Exercise Science; Psychology; Nursing; Business; Elementary Education; Criminal Justice and Safety Studies; Biology; Finance; Accounting; Marketing; ,70%,"14,009",1100-1270,560-640,540-630,60%
186,University of Tennessee,https://www.niche.com/colleges/university-of-tennessee/,A-,A-,A-,B,A+,A+,A,B+,C+,B,A,C+,"UT Knoxville is a highly rated public university located in Knoxville, Tennessee. It is a large institution with an enrollment of 20,965 undergraduate students. Admissions is somewhat competitive as the UT Knoxville acceptance rate is 77%. Popular majors include Logistics and Supply Chain Management, Psychology, and Biology. Graduating 70% of students, UT Knoxville alumni go on to earn a starting salary of $35,500.",527 Andy Holt Tower,Knoxville,TN,37996,77%,1140-1310,24-30,$50 ,"$20,995 ",Logistics and Supply Chain Management; Psychology; Biology; Kinesiology and Exercise Science; Nursing; Accounting; Marketing; Mechanical Engineering; Liberal Arts and Humanities; Political Science and Government; ,77%,"18,872",1140-1310,580-660,560-650,17%
187,California State University - Long Beach,https://www.niche.com/colleges/california-state-university---long-beach/,B+,A,A,A,B+,A-,B,A,NG,A-,A,B+,"Cal State Long Beach is a highly rated public university located in Long Beach, California in the Los Angeles Area. It is a large institution with an enrollment of 27,507 undergraduate students. Admissions is competitive as the Cal State Long Beach acceptance rate is 28%. Popular majors include Business, Family Studies and Consumer Sciences, and Psychology. Graduating 69% of students, Cal State Long Beach alumni go on to earn a starting salary of $33,800.",1250 Bellflower Blvd,Long Beach,CA,90840,28%,1020-1230,20-26,$55 ,"$9,654 ",Business; Family Studies and Consumer Sciences; Psychology; Communications; Sociology; Healthcare Management; Physical Education Teaching and Coaching; Human Development; English; Health Service Preparatory Studies; ,28%,"63,048",1020-1230,510-610,510-620,93%
188,Wofford College,https://www.niche.com/colleges/wofford-college/,B+,A,B+,B+,B+,B,B+,C+,A,C+,A-,B-,"Wofford is a highly rated private, Christian college located in Spartanburg, South Carolina in the Greenville Area. It is a small institution with an enrollment of 1,663 undergraduate students. Admissions is somewhat competitive as the Wofford acceptance rate is 69%. Popular majors include Biology, Finance, and Managerial Economics. Graduating 81% of students, Wofford alumni go on to earn a starting salary of $38,100.",429 N Church St,Spartanburg,SC,29303,69%,1120-1310,29-30,$35 ,"$27,101 ",Biology; Finance; Managerial Economics; Spanish Language and Literature; Chemistry; Accounting; English; Political Science and Government; Economics; Psychology; ,69%,"3,101",1120-1310,570-660,550-650,41%
189,Taylor University,https://www.niche.com/colleges/taylor-university/,A-,A-,B+,A-,B,D,A-,C-,A+,B,B+,A+,"Taylor is a highly rated private, non-denominational university located in Upland, Indiana. It is a small institution with an enrollment of 1,840 undergraduate students. The Taylor acceptance rate is 87%. Popular majors include Psychology, Kinesiology and Exercise Science, and Biology. Graduating 79% of students, Taylor alumni go on to earn a starting salary of $29,600.",236 W. Reade Avenue,Upland,IN,46989,87%,1040-1290,22-29,$0 ,"$25,734 ",Psychology; Kinesiology and Exercise Science; Biology; Marketing; Business; Professional and Technical Writing; Computer Science; Elementary Education; Cinematography and Video Production; Political Science and Government; ,87%,"1,673",1040-1290,530-650,520-640,60%
190,Spelman College,https://www.niche.com/colleges/spelman-college/,A-,A-,B-,B-,NG,A+,A-,B,D,C-,A+,B,"Spelman is a highly rated private college located in Atlanta, Georgia. As a historically black college, Spelman has a strong history of and commitment to the education of black Americans. It is a small institution with an enrollment of 2,086 undergraduate students. Admissions is fairly competitive as the Spelman acceptance rate is 40%. Popular majors include Psychology, Biology, and Political Science and Government. Graduating 74% of students, Spelman alumni go on to earn a starting salary of $29,800.",350 Spelman Lane SW,Atlanta,GA,30314,40%,1070-1220,22-26,$35 ,"$36,190 ",Psychology; Biology; Political Science and Government; Economics; International Studies; English; Mathematics; Women's Studies; Sociology; Information Science; ,40%,"8,344",1070-1220,550-620,520-590,64%
191,"Stony Brook University, SUNY",https://www.niche.com/colleges/stony-brook-university-suny/,A,A,A+,C-,A-,B-,B+,C-,C-,C+,B-,B-,"Stony Brook is a highly rated public university located in Brookhaven, New York in the New York City Area. It is a large institution with an enrollment of 16,212 undergraduate students. Admissions is fairly competitive as the Stony Brook acceptance rate is 42%. Popular majors include Health Service Preparatory Studies, Psychology, and Biology. Graduating 72% of students, Stony Brook alumni go on to earn a starting salary of $38,200.",310 Administration Building,Stony Brook,NY,11794,42%,1210-1410,26-31,$50 ,"$14,330 ",Health Service Preparatory Studies; Psychology; Biology; Business; Economics; Computational and Applied Mathematics; Information Science; Nursing; Sociology; Mechanical Engineering; ,42%,"35,313",1210-1410,590-680,620-730,77%
192,Nebraska Wesleyan University,https://www.niche.com/colleges/nebraska-wesleyan-university/,B+,A,A-,A-,B,B,B+,A-,A-,B,A,B+,"Nebraska Wesleyan is a highly rated private, Christian university located in Lincoln, Nebraska. It is a small institution with an enrollment of 1,566 undergraduate students. Admissions is somewhat competitive as the Nebraska Wesleyan acceptance rate is 71%. Popular majors include Nursing, Business, and Biology. Graduating 65% of students, Nebraska Wesleyan alumni go on to earn a starting salary of $36,800.",5000 St Paul Ave,Lincoln,NE,68504,71%,1040-1300,22-28,$0 ,"$24,383 ",Nursing; Business; Biology; Social Work and Youth Services; Kinesiology and Exercise Science; Psychology; Communications; Elementary Education; History; Sport and Fitness Management; ,71%,"1,910",1040-1300,530-670,510-630,5%
193,Millsaps College,https://www.niche.com/colleges/millsaps-college/,A-,A,A,B-,B-,B+,A,B-,B-,C+,A-,C,"Millsaps is a highly rated private, Christian college located in Jackson, Mississippi. It is a small institution with an enrollment of 797 undergraduate students. Admissions is fairly competitive as the Millsaps acceptance rate is 49%. Popular majors include Business, Biology, and Accounting. Graduating 67% of students, Millsaps alumni go on to earn a starting salary of $34,700.",1701 N State St,Jackson,MS,39210,49%,1110-1320,22-28,$0 ,"$23,413 ",Business; Biology; Accounting; Psychology; Biochemistry and Molecular Biology; Neuroscience and Neurobiology; Sociology; Communications; Geology and Earth Science; History; ,49%,"4,276",1110-1320,560-660,550-660,20%
194,San Diego State University,https://www.niche.com/colleges/san-diego-state-university/,B+,A-,A+,A-,A,A+,B-,A-,C+,A-,A+,C,"San Diego State is a highly rated public university located in San Diego, California. It is a large institution with an enrollment of 27,060 undergraduate students. Admissions is fairly competitive as the San Diego State acceptance rate is 35%. Popular majors include Business, Psychology, and Criminal Justice and Safety Studies. Graduating 74% of students, San Diego State alumni go on to earn a starting salary of $36,100.",5500 Campanile Dr,San Diego,CA,92182,35%,1090-1290,23-28,$55 ,"$13,363 ",Business; Psychology; Criminal Justice and Safety Studies; Liberal Arts and Humanities; Physical Education Teaching and Coaching; Communications; Biology; Economics; Nursing; Mechanical Engineering; ,35%,"60,910",1090-1290,550-640,540-650,79%
195,Loyola University Chicago,https://www.niche.com/colleges/loyola-university-chicago/,A-,A-,A,A-,B,B,B+,A,B+,B,A-,B,"Loyola Chicago is a highly rated private, Catholic university located in Chicago, Illinois. It is a large institution with an enrollment of 10,681 undergraduate students. Admissions is somewhat competitive as the Loyola Chicago acceptance rate is 71%. Popular majors include Biology, Nursing, and Psychology. Graduating 77% of students, Loyola Chicago alumni go on to earn a starting salary of $40,100.",1032 W. Sheridan Rd,Chicago,IL,60660,71%,1120-1310,24-29,$0 ,"$34,526 ",Biology; Nursing; Psychology; Marketing; Finance; Political Science and Government; Public Relations; International Relations; Managerial Economics; Criminal Justice and Safety Studies; ,71%,"23,571",1120-1310,570-660,550-650,23%
196,University of Southern Mississippi,https://www.niche.com/colleges/university-of-southern-mississippi/,A-,B,A,A-,A,A-,A-,B+,A-,B+,A,B,"Southern Miss is a highly rated public university located in Hattiesburg, Mississippi. It is a large institution with an enrollment of 10,384 undergraduate students. The Southern Miss acceptance rate is 98%. Popular majors include Nursing, Psychology, and Business. Graduating 47% of students, Southern Miss alumni go on to earn a starting salary of $29,200.",118 College Drive # 0001,Hattiesburg,MS,39406,98%,940-1190,19-26,$40 ,"$12,506 ",Nursing; Psychology; Business; Elementary Education; Biology; Liberal Arts and Humanities; Accounting; English; Kinesiology and Exercise Science; Marketing; ,98%,"6,372",940-1190,430-540,510-650,0%
197,Cedarville University,https://www.niche.com/colleges/cedarville-university/,B+,A-,B,A,B,D,B,C-,A,A-,B+,A,"Cedarville is a highly rated private, Christian university located in Cedarville, Ohio. It is a small institution with an enrollment of 3,109 undergraduate students. Admissions is somewhat competitive as the Cedarville acceptance rate is 71%. Popular majors include Nursing, Mechanical Engineering, and Early Childhood Education. Graduating 72% of students, Cedarville alumni go on to earn a starting salary of $33,700.",251 N. Main Street,Cedarville,OH,45314,71%,1130-1350,23-29,$30 ,"$23,520 ",Nursing; Mechanical Engineering; Early Childhood Education; Pharmacy and Pharmaceutical Sciences; Religious Vocations; Business; Social Work and Youth Services; Finance; Industrial and Product Design; Computer Science; ,71%,"4,039",1130-1350,580-680,550-670,50%
198,LeTourneau University,https://www.niche.com/colleges/letourneau-university/,A-,A,A-,B,B-,C-,B,C,A,B,B-,A-,"LeTourneau is a highly rated private, non-denominational university located in Longview, Texas. It is a small institution with an enrollment of 1,301 undergraduate students. Admissions is fairly competitive as the LeTourneau acceptance rate is 47%. Popular majors include Business, Mechanical Engineering, and Elementary Education. Graduating 60% of students, LeTourneau alumni go on to earn a starting salary of $40,300.",2100 S Mobberly Ave,Longview,TX,75602,47%,1060-1310,21-28,$0 ,"$22,608 ",Business; Mechanical Engineering; Elementary Education; Aeronautics and Aviation Technology; Liberal Arts and Humanities; Nursing; Psychology; Civil Engineering; Healthcare Management; Aerospace Engineering Technician; ,47%,"1,780",1060-1310,530-650,530-660,60%
199,University of the Pacific,https://www.niche.com/colleges/university-of-the-pacific/,A-,A,A,B,B+,B,A,C-,B,B,B-,C+,"Pacific is a highly rated private university located in Stockton, California. It is a small institution with an enrollment of 3,452 undergraduate students. Admissions is somewhat competitive as the Pacific acceptance rate is 65%. Popular majors include Business, Liberal Arts and Humanities, and Biology. Graduating 70% of students, Pacific alumni go on to earn a starting salary of $51,500.",3601 Pacific Ave,Stockton,CA,95211,65%,1070-1330,22-30,$35 ,"$32,715 ",Business; Liberal Arts and Humanities; Biology; Physical Education Teaching and Coaching; Mechanical Engineering; Dental Hygiene; Computer Science; Psychology; Elementary Education; Civil Engineering; ,65%,"13,064",1070-1330,540-650,530-680,78%
200,DigiPen Institute of Technology,https://www.niche.com/colleges/digipen-institute-of-technology/,A-,A-,A-,B,NG,C+,B-,B+,C-,NG,A-,A+,"DigiPen is a highly rated for-profit college located in Redmond, Washington in the Seattle Area. It is a small institution with an enrollment of 964 undergraduate students. Admissions is fairly competitive as the DigiPen acceptance rate is 54%. Popular majors include Computer Programming, Animation, Video Graphics and Special Effects, and Human Computer Interaction. Graduating 43% of students, DigiPen alumni go on to earn a starting salary of $54,500.",9931 Willows Rd NE,Redmond,WA,98052,54%,1150-1360,25-30,$60 ,"$32,433 ","Computer Programming; Animation, Video Graphics and Special Effects; Human Computer Interaction; Computer Graphics; Music Theory and Composition; Computer Hardware Engineering; Computer Software Engineering; ",54%,750,1150-1360,580-680,570-680,67%
201,West Virginia University,https://www.niche.com/colleges/west-virginia-university/,B+,A-,A-,A-,A+,A+,A-,A-,B-,B+,A+,C+,"WVU is a highly rated public university located in Morgantown, West Virginia. It is a large institution with an enrollment of 20,712 undergraduate students. Admissions is somewhat competitive as the WVU acceptance rate is 72%. Popular majors include Liberal Arts and Humanities, Journalism, and Sociology. Graduating 57% of students, WVU alumni go on to earn a starting salary of $32,700.",PO Box 6201,Morgantown,WV,26506,72%,1020-1210,21-27,$45 ,"$11,486 ",Liberal Arts and Humanities; Journalism; Sociology; Physical Education Teaching and Coaching; Nursing; Business; Psychology; Biology; Exercise Physiology; Industrial Engineering; ,72%,"20,594",1020-1210,510-610,510-600,31%
202,Florida International University,https://www.niche.com/colleges/florida-international-university/,A-,B+,A,A,A-,A-,A-,B+,B,A,A,B+,"Florida International is a highly rated public university located in University Park, Florida in the Miami Area. It is a large institution with an enrollment of 26,655 undergraduate students. Admissions is fairly competitive as the Florida International acceptance rate is 54%. Popular majors include Psychology, Communications, and Hospitality and Tourism Management. Graduating 57% of students, Florida International alumni go on to earn a starting salary of $36,100.",11200 S. W. 8 Street,Miami,FL,33199,54%,1080-1240,22-27,$30 ,"$12,219 ",Psychology; Communications; Hospitality and Tourism Management; Biology; Finance; Criminal Justice and Safety Studies; International Business; Marketing; Nursing; Business; ,54%,"19,757",1080-1240,550-630,530-610,81%
203,University of Kentucky,https://www.niche.com/colleges/university-of-kentucky/,B+,A-,A-,A-,A+,A,A,B+,A-,B+,A,B-,"Kentucky is a highly rated public university located in Lexington, Kentucky. It is a large institution with an enrollment of 20,657 undergraduate students. The Kentucky acceptance rate is 96%. Popular majors include Psychology, Physical Education Teaching and Coaching, and Marketing. Graduating 65% of students, Kentucky alumni go on to earn a starting salary of $36,600.",South Limestone,Lexington,KY,40506,96%,1080-1330,22-28,$50 ,"$19,361 ",Psychology; Physical Education Teaching and Coaching; Marketing; Nursing; Communications; Business; Biology; Finance; Accounting; Mechanical Engineering; ,96%,"18,925",1080-1330,550-660,530-670,17%
204,Coe College,https://www.niche.com/colleges/coe-college/,A-,A,A-,B-,B-,B,B,B,C+,C+,B+,B-,"Coe is a highly rated private, Christian college located in Cedar Rapids, Iowa. It is a small institution with an enrollment of 1,369 undergraduate students. Admissions is fairly competitive as the Coe acceptance rate is 56%. Popular majors include Biology, Psychology, and Business. Graduating 69% of students, Coe alumni go on to earn a starting salary of $36,600.",1220 First Ave NE,Cedar Rapids,IA,52402,56%,1070-1330,22-28,$30 ,"$21,733 ",Biology; Psychology; Business; Neuroscience and Neurobiology; Nursing; Elementary Education; Physical Education Teaching and Coaching; Arts; Public Relations; Accounting; ,56%,"7,002",1070-1330,530-650,540-680,10%
205,Duquesne University,https://www.niche.com/colleges/duquesne-university/,B+,A,B+,B-,B+,A-,A-,A+,B-,C+,A-,B,"Duquesne is a highly rated private, Catholic university located in Pittsburgh, Pennsylvania. It is a mid-size institution with an enrollment of 5,826 undergraduate students. Admissions is somewhat competitive as the Duquesne acceptance rate is 72%. Popular majors include Nursing Science, Education, and Practice, Biology, and Marketing. Graduating 80% of students, Duquesne alumni go on to earn a starting salary of $45,400.",Administration Bldg 600 Forbes Ave,Pittsburgh,PA,15282,72%,1120-1270,24-29,$50 ,"$30,540 ","Nursing Science, Education, and Practice; Biology; Marketing; Finance; Psychology; Logistics and Supply Chain Management; Early Childhood Education; Public Relations; Accounting; Physician Assistant; ",72%,"7,336",1120-1270,570-640,550-630,55%
206,Bob Jones University,https://www.niche.com/colleges/bob-jones-university/,A-,A-,A-,A-,C-,D+,B,A-,A-,B+,B+,A-,"Bob Jones is a highly rated private, Christian university located in Greenville, South Carolina. It is a small institution with an enrollment of 2,306 undergraduate students. The Bob Jones acceptance rate is 86%. Popular majors include Business, Nursing, and Accounting. Graduating 67% of students, Bob Jones alumni go on to earn a starting salary of $27,600.",1700 Wade Hampton Boulavard,Greenville,SC,29614,86%,960-1180,20-27,$0 ,"$14,416 ",Business; Nursing; Accounting; Theological and Ministerial Studies; Communications; Early Childhood Education; Engineering; Biology; Business Support Services; Elementary Education; ,86%,"1,062",960-1180,480-620,480-570,18%
207,George Mason University,https://www.niche.com/colleges/george-mason-university/,B+,A,A,B,B+,B,B+,NG,B-,B+,B+,B,"George Mason is a highly rated public university located in Virginia. It is a large institution with an enrollment of 20,221 undergraduate students. The George Mason acceptance rate is 81%. Popular majors include Psychology, Police and Criminal Science, and Information Technology. Graduating 71% of students, George Mason alumni go on to earn a starting salary of $43,100.",4400 University Dr,Fairfax,VA,22030,81%,1100-1290,24-30,$70 ,"$18,629 ",Psychology; Police and Criminal Science; Information Technology; Biology; Liberal Arts and Humanities; Accounting; Rhetoric and Composition; Management Sciences and Information Systems; Business; Finance; ,81%,"18,993",1100-1290,560-650,540-640,70%
208,Rockhurst University,https://www.niche.com/colleges/rockhurst-university/,B+,A,B+,B,B,A-,B+,B+,B,B,A-,C+,"Rockhurst is a highly rated private, Catholic university located in Kansas City, Missouri. It is a small institution with an enrollment of 1,445 undergraduate students. Admissions is somewhat competitive as the Rockhurst acceptance rate is 72%. Popular majors include Business, Nursing, and Psychology. Graduating 75% of students, Rockhurst alumni go on to earn a starting salary of $39,300.",1100 Rockhurst Rd,Kansas City,MO,64110,72%,1050-1230,22-27,$0 ,"$23,291 ",Business; Nursing; Psychology; Biology; Kinesiology and Exercise Science; Speech Language Pathology; Spanish Language and Literature; Elementary Education; Physics; English; ,72%,"3,115",1050-1230,510-590,540-640,4%
209,University of California - Santa Cruz,https://www.niche.com/colleges/university-of-california---santa-cruz/,A-,A-,A,B+,C,B,A,B+,C+,B+,B,C+,"UC Santa Cruz is a highly rated public university located in Santa Cruz, California. It is a large institution with an enrollment of 17,082 undergraduate students. Admissions is fairly competitive as the UC Santa Cruz acceptance rate is 51%. Popular majors include Psychology, Computer Science, and Sociology. Graduating 77% of students, UC Santa Cruz alumni go on to earn a starting salary of $31,000.",1156 High St,Santa Cruz,CA,95064,51%,1160-1340,26-31,$70 ,"$16,792 ",Psychology; Computer Science; Sociology; Managerial Economics; Cellular Biology; Environmental Science; Literature; Political Science and Government; Anthropology; Cinematography and Video Production; ,51%,"52,969",1160-1340,580-660,580-680,80%
210,St. Norbert College,https://www.niche.com/colleges/st-norbert-college/,B+,A,B,A,B,A-,B,A-,B+,A+,A,B,"St. Norbert is a highly rated private, Catholic college located in De Pere, Wisconsin. It is a small institution with an enrollment of 2,021 undergraduate students. Admissions is somewhat competitive as the St. Norbert acceptance rate is 79%. Popular majors include Business, Communications, and Biology. Graduating 74% of students, St. Norbert alumni go on to earn a starting salary of $35,900.",100 Grant St,De Pere,WI,54115,79%,1110-1230,22-27,$0 ,"$25,980 ",Business; Communications; Biology; Psychology; Spanish Language and Literature; Accounting; Finance; History; Elementary Education; English; ,79%,"3,860",1110-1230,570-630,540-600,2%
211,Muhlenberg College,https://www.niche.com/colleges/muhlenberg-college/,A,A,A-,B,B-,B-,B,C+,B+,A,B-,C+,"Muhlenberg is a highly rated private, Christian college located in Allentown, Pennsylvania. It is a small institution with an enrollment of 2,279 undergraduate students. Admissions is fairly competitive as the Muhlenberg acceptance rate is 48%. Popular majors include Business, Psychology, and Drama and Theatre Production. Graduating 86% of students, Muhlenberg alumni go on to earn a starting salary of $43,200.",2400 Chew Street,Allentown,PA,18104,48%,1140-1340,25-30,$50 ,"$37,029 ",Business; Psychology; Drama and Theatre Production; Communications; Finance; Biology; English; Neuroscience and Neurobiology; Accounting; Dance; ,48%,"4,636",1140-1340,580-680,560-660,51%
212,University of Illinois at Chicago,https://www.niche.com/colleges/university-of-illinois-at-chicago/,B+,A,A,C+,B,B+,A,A,C-,B,B,B-,"Illinois at Chicago is a highly rated public university located in Chicago, Illinois. It is a large institution with an enrollment of 17,961 undergraduate students. Admissions is somewhat competitive as the Illinois at Chicago acceptance rate is 77%. Popular majors include Psychology, Biology, and Nursing. Graduating 57% of students, Illinois at Chicago alumni go on to earn a starting salary of $40,000.",601 S Morgan,Chicago,IL,60607,77%,1080-1330,20-26,$60 ,"$11,884 ",Psychology; Biology; Nursing; Finance; Criminal Justice and Safety Studies; Accounting; Kinesiology and Exercise Science; Mechanical Engineering; Computer Science; Marketing; ,77%,"18,768",1080-1330,530-650,550-680,8%
213,Whitworth University,https://www.niche.com/colleges/whitworth-university/,B+,A-,A-,A,B,C,B,B,A,B-,A-,A,"Whitworth is a highly rated private, Christian university located in Country Homes, Washington in the Spokane Area. It is a small institution with an enrollment of 2,211 undergraduate students. The Whitworth acceptance rate is 89%. Popular majors include Natural Sciences, Psychology, and Elementary Education. Graduating 75% of students, Whitworth alumni go on to earn a starting salary of $33,600.",300 W Hawthorne Rd,Spokane,WA,99251,89%,1090-1310,23-29,$0 ,"$29,281 ",Natural Sciences; Psychology; Elementary Education; Biology; Business; Computer Science; Mathematics; Sociology; Chemistry; English; ,89%,"3,166",1090-1310,550-660,540-650,71%
214,Elon University,https://www.niche.com/colleges/elon-university/,A-,A,B+,A,A-,B+,A-,C,A,B+,B+,B,"Elon is a highly rated private university located in Elon, North Carolina in the Greensboro Area. It is a mid-size institution with an enrollment of 6,008 undergraduate students. Admissions is somewhat competitive as the Elon acceptance rate is 67%. Popular majors include Finance, Public Relations, and Marketing. Graduating 84% of students, Elon alumni go on to earn a starting salary of $39,600.",100 Campus Drive,Elon,NC,27244,67%,1140-1330,25-29,$50 ,"$33,754 ",Finance; Public Relations; Marketing; Psychology; Communications; Kinesiology and Exercise Science; Accounting; Business; Political Science and Government; Public Administration; ,67%,"9,623",1140-1330,580-670,560-660,60%
215,Saint Joseph's University,https://www.niche.com/colleges/saint-josephs-university/,B+,A,A-,B,A-,A-,A-,A-,B,C-,A,B-,"Saint Joseph's is a highly rated private, Catholic university located in Philadelphia, Pennsylvania. It is a small institution with an enrollment of 4,481 undergraduate students. Admissions is somewhat competitive as the Saint Joseph's acceptance rate is 77%. Popular majors include Marketing, Finance, and Accounting. Graduating 82% of students, Saint Joseph's alumni go on to earn a starting salary of $47,100.",5600 City Avenue,Philadelphia,PA,19131,77%,1110-1290,23-28,$50 ,"$35,290 ",Marketing; Finance; Accounting; Communications; Management Sciences and Information Systems; Psychology; Biology; Elementary Education; Health Professions; English; ,77%,"8,972",1110-1290,560-640,550-650,66%
216,University of Colorado - Denver,https://www.niche.com/colleges/university-of-colorado---denver/,B+,A-,A,B,NG,B,A,B+,NG,NG,B+,B,"CU Denver is a highly rated public university located in Aurora, Colorado in the Denver Area. It is a mid-size institution with an enrollment of 8,671 undergraduate students. Admissions is somewhat competitive as the CU Denver acceptance rate is 65%. Popular majors include Business, Nursing, and Biology. Graduating 45% of students, CU Denver alumni go on to earn a starting salary of $40,000.","1380 Lawrence Street, Lawrence Street Center, Suite 1400",Denver,CO,80217,65%,1060-1280,21-27,$50 ,"$14,586 ",Business; Nursing; Biology; Communications; Psychology; Economics; Music History and Literature; Studio Arts; Public Health; Criminal Justice and Law Enforcement Administration; ,65%,"11,373",1060-1280,540-640,520-640,12%
217,Berea College,https://www.niche.com/colleges/berea-college/,A-,A-,A,C+,C+,C-,A-,C-,B-,C+,C+,B-,"Berea is a highly rated private college located in Berea, Kentucky. It is a small institution with an enrollment of 1,615 undergraduate students. Admissions is fairly competitive as the Berea acceptance rate is 35%. Popular majors include Biology, Information Science, and Psychology. Graduating 66% of students, Berea alumni go on to earn a starting salary of $22,400.",101 Chestnut Street,Berea,KY,40404,35%,970-1200,22-27,$0 ,"$1,680 ",Biology; Information Science; Psychology; Liberal Arts and Humanities; Communications; Chemistry; Manufacturing Engineering Technician; Nursing; Accounting; Child Development; ,35%,"1,710",970-1200,480-590,490-610,10%
218,University of Louisville,https://www.niche.com/colleges/university-of-louisville/,A-,B+,A-,B,A+,A,A,B,B,A,A-,B,"Louisville is a highly rated public university located in Louisville, Kentucky. It is a large institution with an enrollment of 12,025 undergraduate students. Admissions is somewhat competitive as the Louisville acceptance rate is 75%. Popular majors include Communications, Nursing, and Psychology. Graduating 54% of students, Louisville alumni go on to earn a starting salary of $33,500.",2301 S 3rd St,Louisville,KY,40292,75%,1070-1290,22-28,$25 ,"$17,008 ",Communications; Nursing; Psychology; Physical Education Teaching and Coaching; Criminal Justice and Law Enforcement Administration; Marketing; Education; Biology; Mechanical Engineering; Accounting; ,75%,"10,987",1070-1290,540-640,530-650,14%
219,University of Idaho,https://www.niche.com/colleges/university-of-idaho/,B+,A-,A-,B,A-,A,A-,A-,C,C,A,B+,"U of I is a highly rated public university located in Moscow, Idaho. It is a mid-size institution with an enrollment of 7,166 undergraduate students. Admissions is somewhat competitive as the U of I acceptance rate is 73%. Popular majors include Psychology, Mechanical Engineering, and Liberal Arts and Humanities. Graduating 55% of students, U of I alumni go on to earn a starting salary of $30,100.",709 Deakin Ave,Moscow,ID,83844,73%,1010-1230,20-26,$60 ,"$14,997 ",Psychology; Mechanical Engineering; Liberal Arts and Humanities; Marketing; Finance; Accounting; Kinesiology and Exercise Science; Business; Biology; Wildlife and Fisheries Management; ,73%,"7,087",1010-1230,510-620,500-610,98%
220,Seattle Pacific University,https://www.niche.com/colleges/seattle-pacific-university/,B+,A-,A,B+,B,B-,B+,A+,A-,B,A-,B,"Seattle Pacific is a highly rated private, Christian university located in Seattle, Washington. It is a small institution with an enrollment of 2,783 undergraduate students. The Seattle Pacific acceptance rate is 91%. Popular majors include Education, Business, and Nursing. Graduating 69% of students, Seattle Pacific alumni go on to earn a starting salary of $35,900.",3307 3rd Ave W,Seattle,WA,98119,91%,1060-1280,21-27,$50 ,"$31,078 ","Education; Business; Nursing; Psychology; Communications; Economics; English; Political Science and Government; Accounting; Foods, Nutrition, and Wellness Studies; ",91%,"3,692",1060-1280,540-650,520-630,78%
221,Andrews University,https://www.niche.com/colleges/andrews-university/,A,B+,A+,B,D,C-,A-,C-,B,A+,C+,B+,"Andrews is a highly rated private, Christian university located in Oronoko Charter Township, Michigan. It is a small institution with an enrollment of 1,344 undergraduate students. Admissions is fairly competitive as the Andrews acceptance rate is 58%. Popular majors include Speech Language Pathology, Business, and Biology. Graduating 55% of students, Andrews alumni go on to earn a starting salary of $33,000.","4150 Administration Drive, Room 136",Berrien Springs,MI,49104,58%,1040-1320,21-29,$30 ,"$21,566 ",Speech Language Pathology; Business; Biology; Liberal Arts and Humanities; Psychology; Architecture; Social Work and Youth Services; Medical Laboratory Technician; Physical Therapy; Spanish Language and Literature; ,58%,"1,554",1040-1320,510-660,530-660,40%
