,name,link,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT,ACT Range,ACT English,ACT Math,ACT Writing,Students Submitting ACT
52,Hamilton College,https://www.niche.com/colleges/hamilton-college/admissions,24%,"5,678",1360-1510,680-750,680-760,36%,31-33, , , ,47%
53,Davidson College,https://www.niche.com/colleges/davidson-college/admissions,20%,"5,673",1310-1470,660-740,650-730,53%,30-33, , , ,66%
54,Colgate University,https://www.niche.com/colleges/colgate-university/admissions,28%,"8,542",1310-1500,660-730,650-770,36%,31-33,31-35,28-33, ,64%
55,Smith College,https://www.niche.com/colleges/smith-college/admissions,32%,"5,432",1240-1470,620-730,620-740, ,28-31, , , , 
56,New York University,https://www.niche.com/colleges/new-york-university/admissions,28%,"64,007",1290-1490,650-730,640-760,59%,29-33, , , ,47%
57,University of Richmond,https://www.niche.com/colleges/university-of-richmond/admissions,33%,"10,013",1270-1460,630-710,640-750,41%,29-32, , , ,59%
58,Wesleyan University,https://www.niche.com/colleges/wesleyan-university/admissions,16%,"12,360",1300-1480,640-740,660-740,80%,29-33,29-34,27-33, ,41%
59,University of Wisconsin,https://www.niche.com/colleges/university-of-wisconsin/admissions,54%,"35,596",1280-1450,620-690,660-760,17%,27-31,26-33,26-31,9-Aug,89%
60,Harvey Mudd College,https://www.niche.com/colleges/harvey-mudd-college/admissions,15%,"4,078",1470-1570,720-770,750-800,66%,33-35,33-35,33-35,10-Aug,59%
61,University of Florida,https://www.niche.com/colleges/university-of-florida/admissions,42%,"32,747",1240-1400,620-710,620-690,79%,28-32,27-34,26-31,9-Aug,71%
62,University of Rochester,https://www.niche.com/colleges/university-of-rochester/admissions,34%,"19,058",1300-1490,640-720,660-770,64%,29-33,28-34,28-34,9-Aug,49%
63,University of Illinois at Urbana-Champaign,https://www.niche.com/colleges/university-of-illinois-at-urbana-champaign/admissions,62%,"38,965",1340-1500,630-710,710-790,22%,26-32,25-33,25-33,9-Aug,85%
64,Bucknell University,https://www.niche.com/colleges/bucknell-university/admissions,31%,"10,253",1250-1420,620-700,630-720,66%,28-31,28-33,26-31,10-Sep,53%
65,Boston University,https://www.niche.com/colleges/boston-university/admissions,25%,"60,825",1300-1480,640-720,660-760,63%,29-32,28-34,27-32,9-Aug,52%
66,University of Georgia,https://www.niche.com/colleges/university-of-georgia/admissions,54%,"24,165",1200-1370,610-690,590-680,68%,26-31,26-33,25-30,8-Jun,74%
67,Grinnell College,https://www.niche.com/colleges/grinnell-college/admissions,29%,"5,850",1310-1510,640-740,670-770,34%,30-34,30-35,28-33, ,66%
68,Brigham Young University,https://www.niche.com/colleges/brigham-young-university/admissions,52%,"12,858",1210-1410,610-710,600-700,28%,27-32,26-30,27-34, ,94%
69,Tulane University,https://www.niche.com/colleges/tulane-university/admissions,21%,"35,622",1330-1490,670-740,660-750,19%,30-33,31-35,27-32, ,81%
70,Colorado School of Mines,https://www.niche.com/colleges/colorado-school-of-mines/admissions,56%,"10,618",1310-1450,640-710,670-740,33%,28-32,27-33,28-33,9-Aug,88%
71,Vassar College,https://www.niche.com/colleges/vassar-college/admissions,24%,"7,746",1330-1500,670-750,660-750,60%,30-33,31-35,27-32,10-Aug,40%
72,Kenyon College,https://www.niche.com/colleges/kenyon-college/admissions,34%,"5,603",1260-1460,640-730,620-730,45%,29-33,29-35,26-31,10-Aug,68%
73,University of Washington,https://www.niche.com/colleges/university-of-washington/admissions,46%,"44,877",1190-1420,590-690,600-730,75%,27-32,25-33,27-33,9-Aug,40%
74,Lafayette College,https://www.niche.com/colleges/lafayette-college/admissions,31%,"8,469",1260-1440,630-710,630-730,57%,28-31,28-33,27-32,9-Aug,57%
75,Case Western Reserve University,https://www.niche.com/colleges/case-western-reserve-university/admissions,33%,"25,380",1340-1520,650-740,690-780,51%,30-33,30-35,29-34,9-Aug,69%
76,The Cooper Union for the Advancement of Science and Art,https://www.niche.com/colleges/the-cooper-union-for-the-advancement-of-science-and-art/admissions,13%,"2,574",1310-1530,650-740,660-790,70%,28-34,28-34,28-35, ,40%
77,Southern Methodist University,https://www.niche.com/colleges/southern-methodist-university/admissions,49%,"13,128",1270-1440,630-710,640-730,36%,28-32,28-34,27-31,9-Aug,72%
78,Rensselaer Polytechnic Institute,https://www.niche.com/colleges/rensselaer-polytechnic-institute/admissions,44%,"19,505",1320-1500,640-730,680-770,66%,28-32, , , ,34%
79,Purdue University,https://www.niche.com/colleges/purdue-university/admissions,57%,"49,354",1150-1380,570-670,580-710,69%,25-31,24-32,26-32, ,59%
80,University of Miami,https://www.niche.com/colleges/university-of-miami/admissions,36%,"30,638",1230-1420,620-700,610-720,38%,28-32,28-34,26-32,9-Aug,54%
81,Worcester Polytechnic Institute,https://www.niche.com/colleges/worcester-polytechnic-institute/admissions,48%,"10,331",1310-1480, , , ,27-32, , , , 
82,Bryn Mawr College,https://www.niche.com/colleges/bryn-mawr-college/admissions,38%,"2,936",1310-1500,650-730,660-770,56%,29-33,30-35,26-32,10-Aug,35%
83,Colorado College,https://www.niche.com/colleges/colorado-college/admissions,15%,"8,223",1220-1430,630-720,610-710,49%,28-32,28-34,26-31,9-Aug,47%
84,Macalester College,https://www.niche.com/colleges/macalester-college/admissions,41%,"5,900",1300-1480,660-740,640-740,45%,29-32,30-35,27-31,10-Aug,66%
85,University of California - Santa Barbara,https://www.niche.com/colleges/university-of-california---santa-barbara/admissions,33%,"81,824",1190-1400,600-680,590-720,75%,28-33,26-34,26-32, ,59%
86,College of the Holy Cross,https://www.niche.com/colleges/college-of-the-holy-cross/admissions,40%,"6,622",1230-1370, , , , , , , , 
